state,state_code
Andhra Pradesh,IN-01
Arunachal Pradesh,IN-02
Assam,IN-03
Bihar,IN-04
Chhattisgarh,IN-05
Goa,IN-06
Gujarat,IN-07
Haryana,IN-08
Himachal Pradesh,IN-09
Jharkhand,IN-10
Karnataka,IN-11
Kerala,IN-12
Madhya Pradesh,IN-13
Maharashtra,IN-14
Manipur,IN-15
Meghalaya,IN-16
Mizoram,IN-17
Nagaland,IN-18
Odisha,IN-19
Punjab,IN-20
Rajasthan,IN-21
Sikkim,IN-22
Tamil Nadu,IN-23
Telangana,IN-24
Tripura,IN-25
Uttar Pradesh,IN-26
Uttarakhand,IN-27
West Bengal,IN-28
Delhi,IN-29
Jammu and Kashmir,IN-30
Ladakh,IN-31
Puducherry,IN-32
Chandigarh,IN-33
